pairIdx	entry	syn	pressure_entry	WN_distance	syns_WordNet	diff_WordNet	WN_hypernymy	WN_antonymy	WN_holonymy	WNpressure_entry	WNsenses_entry	WNsenses_syn	WNpressure_POS_entry	WNsenses_POS_entry	WNsenses_POS_syn	DD_N_entry	DD_N_syn	DDG_N_entry	DDG_N_syn	DDG_N_avg_entry	DDG_N_avg_syn	DDG_N_avg_one	DDG_N_avg_both	DDG_N_avgstd_entry	DDG_N_avgstd_syn	DDG_N_avgstd_one	DDG_N_avgstd_both	DD_OP_entry	DD_OP_syn	DDG_OP_entry	DDG_OP_syn	DDG_OP_avg_entry	DDG_OP_avg_syn	DDG_OP_avg_one	DDG_OP_avg_both	DDG_OP_avgstd_entry	DDG_OP_avgstd_syn	DDG_OP_avgstd_one	DDG_OP_avgstd_both	FO_entry	FO_syn	FE_entry	FE_syn	EnoughFreq	FGO_entry	FGO_syn	FGE_entry	FGE_syn	FGEv_entry	FGEv_syn	Lev	SDO	SDE	Div	SNDO_5	SNDO_10	SNDO_15	SNDO_20	SNDO_40	SNDO_100	SNDE_5	SNDE_10	SNDE_15	SNDE_20	SNDE_40	SNDE_100	NDiv_5	NDiv_10	NDiv_15	NDiv_20	NDiv_40	NDiv_100	SDGO	SDGE	DivG_avg	DivG_avgstd	DivG_closeavg	DivG_closeavgstd	control_1	control_2	control_DD_1	control_DD_2	control_SDO	control_SDE	XKcontrols	NDivG_avg_5	NDivG_avg_10	NDivG_avg_15	NDivG_avg_20	NDivG_avg_40	NDivG_avg_100	NDivG_avgstd_5	NDivG_avgstd_10	NDivG_avgstd_15	NDivG_avgstd_20	NDivG_avgstd_40	NDivG_avgstd_100	absFGEv_entry	absFGEv_syn	normLev	FGDO	FGDE	FGEvD	DeltaDD_N	DeltaDD_OP
0	absolute	arbitrary	23	inf	False	True	False	False	False	7	6	1	7	5	1	0.75	0.8439306358381503			False	False	False	False	False	False	False	False	0.4208187647487411	0.4383237629447095			False	False	False	False	False	False	False	False	971	250	651	189	True	4	2	3	2	-1	0	7	0.6638353597638604	0.7084663363864289	0.04463097662256843	1.0	0.8888888888888888	0.9285714285714286	0.9473684210526316	0.9333333333333333	0.9304812834224598	1.0	1.0	0.9655172413793104	0.9743589743589743	0.961038961038961	0.9583333333333334	0.0	0.11111111111111116	0.036945812807881784	0.0269905533063427	0.027705627705627678	0.027852049910873533	mid	mid	diff	syns	diff	syns	strange	funniest	0.717948717948718	0.8700564971751412	0.6333093471911442	0.6774809899446311	diff	syns	diff	diff	diff	diff	diff	syns	diff	diff	diff	syns	syns	1	0	0.8235294117647058	2	1	-1	0.09393063583815031	0.017504998195968402
1	absolute	compulsory	23	inf	False	True	False	False	False	7	6	1	7	5	1	0.75	0.8372093023255813			False	False	False	False	False	False	False	False	0.4208187647487411	0.4891561907093078			False	False	False	False	False	False	False	False	971	90	651	45	True	4	1	3	0	-1	-1	9	0.9080526463969079	0.8755967872835556	-0.03245585911335225	1.0	1.0	1.0	1.0	0.9873417721518988	0.9795918367346939	1.0	1.0	1.0	1.0	0.9873417721518988	0.9743589743589743	0.0	0.0	0.0	0.0	0.0	-0.005232862375719516	far	mid	syns	syns	syns	syns	pacific	persian	0.6301369863013699	0.5815602836879432	0.8419896650970771	0.8325124520939422	diff	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	1	1	1.0	3	3	0	0.08720930232558133	0.06833742596056674
2	absolute	haughty	23	inf	False	True	False	False	False	7	6	1	7	5	1	0.75	0.9247311827956988		avg	False	True	True	False	False	False	False	False	0.4208187647487411	0.6224983698929807			False	False	False	False	False	False	False	False	971	213	651	45	True	4	2	3	0	-1	-2	7	0.8722321636694985	0.9529542272419026	0.08072206357240408	1.0	1.0	1.0	1.0	0.9873417721518988	0.98989898989899	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.012658227848101222	0.010101010101010055	mid	far	diff	diff	diff	syns	jewish	catholic	0.5915492957746479	0.6111111111111112	0.602901778546695	0.5410983104102317	diff	syns	syns	syns	syns	diff	diff	syns	syns	syns	syns	syns	syns	1	2	0.9333333333333333	2	3	1	0.17473118279569877	0.2016796051442396
3	absolute	peremptory	23	inf	False	True	False	False	False	7	6	3	7	5	3	0.75	0.9528795811518324		avg	False	True	True	False	False	False	False	False	0.4208187647487411	0.7553971993748743		avg	False	True	True	False	False	False	False	False	971	87	651	33	True	4	1	3	0	-1	-1	9	0.8292251078461745	0.9057423316934405	0.076517223847266	1.0	1.0	1.0	1.0	0.9743589743589743	0.9743589743589743	1.0	1.0	1.0	0.9743589743589743	0.9743589743589743	0.9690721649484536	0.0	0.0	0.0	-0.02564102564102566	0.0	-0.005286809410520732	mid	mid	diff	diff	diff	syns	dominant	asian	0.8023952095808383	0.7421383647798743	0.8157291538432536	0.9055673178773699	diff	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	1	1	1.0	3	3	0	0.20287958115183236	0.3345784346261332
4	absolute	arrogant	23	inf	False	True	False	False	False	7	6	1	7	5	1	0.75	0.7951807228915663			False	False	False	False	False	False	False	False	0.4208187647487411	0.6211959236911686			False	False	False	False	False	False	False	False	971	56	651	225	True	4	1	3	2	-1	1	6	0.8833991705208979	0.8658115167663714	-0.017587653754526533	1.0	1.0	1.0	1.0	1.0	0.9847715736040609	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.015228426395939132	mid	mid	diff	syns	syns	syns	efficacious	strong	0.7804878048780488	0.7421383647798743	0.8704821195709911	0.8874832126646837	syns	syns	syns	syns	syns	syns	diff	syns	syns	syns	syns	syns	syns	1	1	0.75	3	1	-2	0.04518072289156627	0.20037715894242752
5	absolute	controlling	23	inf	False	True	False	False	False	7	6	10	7	5	1	0.75	0.7951807228915663			False	False	False	False	False	False	False	False	0.4208187647487411	0.4671976513615266			False	False	False	False	False	False	False	False	971	80	651	41	True	4	1	3	0	-1	-1	9	0.819108292943096	0.9867445186963646	0.16763622575326864	1.0	1.0	1.0	1.0	0.9743589743589743	0.9361702127659575	1.0	1.0	1.0	1.0	1.0	0.9795918367346939	0.0	0.0	0.0	0.0	0.02564102564102566	0.04342162396873639	mid	far	diff	diff	diff	diff	ancient	feudal	0.6486486486486487	0.7951807228915663	0.6039408630363094	0.6351337990657241	diff	syns	syns	syns	syns	diff	diff	syns	syns	syns	syns	syns	syns	1	1	0.9473684210526315	3	3	0	0.04518072289156627	0.0463788866127855
6	absolute	imperative	23	inf	False	True	False	False	False	7	6	4	7	5	2	0.75	0.8304093567251463			False	False	False	False	False	False	False	False	0.4208187647487411	0.4696555151228156			False	False	False	False	False	False	False	False	971	185	651	68	True	4	2	3	1	-1	-1	8	0.7602003523117998	0.8130339308964855	0.052833578584685625	1.0	1.0	1.0	0.9743589743589743	0.9473684210526316	0.9361702127659575	1.0	1.0	1.0	1.0	1.0	0.9690721649484536	0.0	0.0	0.0	0.02564102564102566	0.05263157894736836	0.03290195218249614	mid	mid	diff	syns	diff	syns	attached	anterior	0.75	0.5185185185185186	0.7246816742103352	0.7690056971156372	diff	syns	syns	syns	diff	diff	diff	syns	syns	syns	syns	diff	syns	1	1	0.8888888888888888	2	2	0	0.08040935672514626	0.04883675037407453
7	absolute	positive	23	inf	False	True	False	False	False	7	6	13	7	5	11	0.75	0.8950276243093923		avg	False	True	True	False	False	False	False	False	0.4208187647487411	0.4705649467776051			False	False	False	False	False	False	False	False	971	944	651	1219	True	4	4	3	4	-1	0	6	0.7239089054047007	0.8371386679721116	0.11322976256741091	1.0	0.9473684210526316	0.9655172413793104	0.9473684210526316	0.9473684210526316	0.8764044943820225	1.0	1.0	0.9655172413793104	0.9743589743589743	0.961038961038961	0.9304812834224598	0.0	0.05263157894736836	0.0	0.0269905533063427	0.013670539986329389	0.054076789040437334	mid	mid	diff	diff	diff	diff	aesthetic	metaphysical	0.75	0.7421383647798743	0.6410046811235283	0.5810084271719946	diff	syns	diff	syns	diff	diff	diff	syns	diff	syns	diff	syns	diff	1	0	0.75	0	-1	-1	0.1450276243093923	0.049746182028863994
8	absolute	authoritative	23	inf	False	True	False	False	False	7	6	3	7	5	3	0.75	0.8700564971751412		avg	False	True	True	False	False	False	False	False	0.4208187647487411	0.4722778634963486			False	False	False	False	False	False	False	False	971	106	651	92	True	4	1	3	1	-1	0	9	0.887931656945052	0.9825084129679686	0.0945767560229166	1.0	1.0	1.0	1.0	0.9873417721518988	0.9637305699481865	1.0	1.0	0.9655172413793104	0.9743589743589743	0.9873417721518988	0.9795918367346939	0.0	0.0	-0.03448275862068961	-0.02564102564102566	0.0	0.015861266786507344	far	far	diff	diff	diff	syns	concave	capillary	0.6842105263157895	0.6754966887417219	0.8825121763231805	0.8694442129399831	diff	syns	syns	syns	syns	syns	diff	syns	syns	syns	syns	syns	syns	1	0	0.8571428571428571	3	2	-1	0.12005649717514122	0.05145909874760751
9	absolute	despotic	23	inf	False	True	False	False	False	7	6	3	7	5	3	0.75	0.907103825136612		avg	False	True	True	False	False	False	False	False	0.4208187647487411	0.6533280873973485		avg	False	True	True	False	False	False	False	False	971	77	651	8	True	4	1	3	0	-1	-1	7	0.6739889023067119	0.8565282180898384	0.18253931578312643	0.8888888888888888	0.8888888888888888	0.9285714285714286	0.9473684210526316	0.9189189189189189	0.9189189189189189	1.0	1.0	1.0	1.0	1.0	0.98989898989899	0.11111111111111116	0.11111111111111116	0.0714285714285714	0.05263157894736836	0.08108108108108114	0.07098007098007109	mid	mid	diff	diff	diff	diff	smaller	narrower	0.7341772151898734	0.7878787878787878	0.6002412425926177	0.6448850971469572	diff	diff	diff	diff	diff	diff	diff	diff	diff	diff	diff	diff	diff	1	1	0.875	3	3	0	0.15710382513661203	0.2325093226486074
