pairIdx	entry	syn	pressure_entry	syns_WordNet	WNpressure_entry	WNsenses_entry	WNsenses_syn	syns_WNExt	WNExt_word	DiachrD_entry	DiachrD_syn	DiachrDG_entry	DiachrDG_syn	DiachrDG_pair_avg	DiachrDG_pair_avgstd	FO_entry	FO_syn	FE_entry	FE_syn	EnoughFreq	FGO_entry	FGO_syn	FGE_entry	FGE_syn	FEv_entry	FEv_syn	Lev	SDO	SDE	Div	SDGO	SDGE	Dec_avg	Dec_avgstd
0	absolute	arbitrary	22	False	7	5	1	True	inviolable	0.75	0.8304093567251463					971	250	651	189	True	3	2	3	1	0	-1	7	0.66383536	0.70846634	0.04463097999999999	mid	mid	LD	LPC
1	absolute	compulsory	22	False	7	5	1	False		0.75	0.8235294117647058					971	90	651	45	True	3	1	3	0	0	-1	9	0.90805265	0.87559679	-0.03245586	far	mid	LPC	LPC
2	absolute	haughty	22	False	7	5	1	False		0.75	0.8700564971751412		avg	syn		971	213	651	45	True	3	2	3	0	0	-2	7	0.87223216	0.95295423	0.08072206999999998	far	far	LD	LPC
3	absolute	peremptory	22	False	7	5	3	False		0.75	0.9304812834224598		avg	syn		971	87	651	33	True	3	1	3	0	0	-1	9	0.82922511	0.90574233	0.07651722000000005	mid	mid	LD	LPC
4	absolute	arrogant	22	False	7	5	1	False		0.75	0.7421383647798743					971	56	651	225	True	3	0	3	2	0	2	6	0.88339917	0.86581152	-0.017587650000000066	far	mid	LPC	LPC
5	absolute	imperative	22	False	7	5	2	False		0.75	0.8304093567251463					971	185	651	68	True	3	1	3	0	0	-1	8	0.76020035	0.81303393	0.05283358000000005	mid	mid	LD	LPC
6	absolute	positive	22	False	7	5	11	False		0.75	0.9010989010989012		avg	syn		971	944	651	1219	True	3	3	3	3	0	0	6	0.72390891	0.83713867	0.11322975999999996	mid	mid	LD	LD
7	absolute	authoritative	22	False	7	5	3	False		0.75	0.8439306358381503		avg	syn		971	106	651	92	True	3	1	3	1	0	0	9	0.88793166	0.98250841	0.09457674999999999	far	far	LD	LPC
8	absolute	despotic	22	False	7	5	3	False		0.75	0.8888888888888888		avg	syn		971	77	651	8	False	3	1	3	0	0	-1	7	0.6739889	0.85652822	0.18253931999999995	mid	mid	LD	LD
9	absolute	imperious	22	False	7	5	1	False		0.75	0.9361702127659576		avgstd	syn	syn	971	121	651	57	True	3	1	3	0	0	-1	9	0.85888804	0.99963843	0.14075039	mid	far	LD	LD
10	absolute	supreme	22	False	7	5	4	False		0.75	0.7261146496815287					971	981	651	981	True	3	3	3	3	0	0	7	0.74474243	0.89204737	0.14730494000000005	mid	mid	LD	LD
11	absolute	autocratic	22	False	7	5	2	False		0.75	0.9528795811518324		avgstd	syn	syn	971	39	651	28	True	3	0	3	0	0	0	7	0.73987539	0.93264068	0.19276528999999998	mid	far	LD	LD
12	absolute	irresponsible	22	False	7	5	1	False		0.75	0.8764044943820225		avg	syn		971	86	651	123	True	3	1	3	1	0	0	10	0.70634405	0.95847035	0.2521263	mid	far	LD	LD
13	absolute	tyrannical	22	False	7	5	2	False		0.75	0.8439306358381503		avg	syn		971	57	651	26	True	3	0	3	0	0	0	10	0.76284289	0.90383551	0.1409926199999999	mid	mid	LD	LD
14	absolute	coercive	22	False	7	5	1	False		0.75	0.8950276243093923		avg	syn		971	9	651	48	False	3	0	3	0	0	0	7	0.72357123	0.89584479	0.17227355999999994	mid	mid	LD	LD
