pairIdx	entry	syn	pressure_entry	WN_distance	syns_WordNet	diff_WordNet	WN_hypernymy	WN_antonymy	WN_holonymy	WNpressure_entry	WNsenses_entry	WNsenses_syn	WNpressure_POS_entry	WNsenses_POS_entry	WNsenses_POS_syn	DD_N_entry	DD_N_syn	DDG_N_entry	DDG_N_syn	DDG_N_avg_entry	DDG_N_avg_syn	DDG_N_avg_one	DDG_N_avg_both	DDG_N_avgstd_entry	DDG_N_avgstd_syn	DDG_N_avgstd_one	DDG_N_avgstd_both	DD_OP_entry	DD_OP_syn	DDG_OP_entry	DDG_OP_syn	DDG_OP_avg_entry	DDG_OP_avg_syn	DDG_OP_avg_one	DDG_OP_avg_both	DDG_OP_avgstd_entry	DDG_OP_avgstd_syn	DDG_OP_avgstd_one	DDG_OP_avgstd_both	FO_entry	FO_syn	FE_entry	FE_syn	EnoughFreq	FGO_entry	FGO_syn	FGE_entry	FGE_syn	FGEv_entry	FGEv_syn	Lev	SDO	SDE	Div	SNDO_5	SNDO_10	SNDO_15	SNDO_20	SNDO_40	SNDO_100	SNDE_5	SNDE_10	SNDE_15	SNDE_20	SNDE_40	SNDE_100	NDiv_5	NDiv_10	NDiv_15	NDiv_20	NDiv_40	NDiv_100	SDGO	SDGE	DivG_avg	DivG_avgstd	DivG_closeavg	DivG_closeavgstd	control_1	control_2	control_DD_1	control_DD_2	control_SDO	control_SDE	XKcontrols	NDivG_avg_5	NDivG_avg_10	NDivG_avg_15	NDivG_avg_20	NDivG_avg_40	NDivG_avg_100	NDivG_avgstd_5	NDivG_avgstd_10	NDivG_avgstd_15	NDivG_avgstd_20	NDivG_avgstd_40	NDivG_avgstd_100	absFGEv_entry	absFGEv_syn	normLev	FGDO	FGDE	FGEvD	DeltaDD_N	DeltaDD_OP
0	abandon	desert	3	9.0	False	True	False	False	False	10	7	5	3	2	2	0.8165680473372781	0.7261146496815287			False	False	False	False	False	False	False	False	0.4191336672269468	0.4531546842925562			False	False	False	False	False	False	False	False	38	550	54	1531	True	0	3	0	4	0	1	7	0.83783328	0.88748072	0.04964743999999999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9873417721518988	0.98989898989899	0.0	0.0	0.0	0.0	-0.012658227848101222	-0.010101010101010055	mid	mid	diff	syns	diff	syns	sphere	component	0.7341772151898734	0.7951807228915663	0.77548308	0.94811714	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	0	1	1.0769230769230769	-3	-4	-1	0.09045339765574933	0.034021017065609394
1	abandon	leave	3	10.0	False	True	False	False	False	10	7	17	3	2	3	0.8165680473372781	0.6754966887417219			False	False	False	False	False	False	False	False	0.4191336672269468	0.4071949044481678			False	False	False	False	False	False	False	False	38	519	54	437	True	0	3	0	2	0	-1	6	0.67599073	0.58497616	-0.09101457000000002	1.0	0.9473684210526316	0.9655172413793104	0.9473684210526316	0.904109589041096	0.8950276243093923	1.0	1.0	0.9285714285714286	0.9189189189189189	0.9189189189189189	0.8888888888888888	0.0	0.05263157894736836	-0.036945812807881784	-0.02844950213371278	0.014809329877822908	-0.006138735420503472	mid	close	syns	syns	syns	syns	pang	horror	0.7878787878787878	0.6754966887417219	0.61185349	0.66139347	syns	syns	diff	syns	syns	diff	syns	syns	diff	syns	syns	syns	syns	0	1	1.0	-3	-2	1	0.1410713585955562	0.011938762778778977
2	abandon	surrender	3	4.0	False	True	False	False	False	10	7	6	3	2	4	0.8165680473372781	0.7878787878787878			False	False	False	False	False	False	False	False	0.4191336672269468	0.3899988845496019			False	False	False	False	False	False	False	False	38	334	54	145	True	0	2	0	1	0	-1	7	0.69076517	0.59736605	-0.09339912000000006	1.0	1.0	0.9655172413793104	0.9473684210526316	0.9473684210526316	0.9130434782608696	1.0	1.0	1.0	0.9189189189189189	0.8732394366197183	0.88268156424581	0.0	0.0	0.03448275862068961	-0.02844950213371278	-0.07412898443291338	-0.03036191401505961	mid	close	syns	syns	syns	syns	light	sunlight	0.6013986013986015	0.7421383647798743	0.54110214	0.51003648	diff	syns	syns	diff	syns	syns	syns	syns	syns	diff	syns	syns	syns	0	1	0.875	-2	-1	1	0.028689259458490213	0.029134782677344873
3	abbreviation	contraction	1	2.0	False	True	False	False	False	0	2	4	0	2	4	0.8636363636363636	0.6486486486486487	avg		True	False	True	False	False	False	False	False	0.7071277280746654	0.4380289999484286	avg		True	False	True	False	False	False	False	False	9	71	8	67	True	0	1	0	1	0	0	8	0.78264285	0.95168509	0.16904224	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	mid	far	diff	diff	diff	diff	dishes	milk	0.7577639751552795	0.6666666666666667	0.7378796	0.79135996	diff	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	0	0	0.6956521739130435	-1	-1	0	0.21498771498771496	0.2690987281262368
4	abomination	abhorrence	15	0.0	True	False	False	False	False	5	3	1	5	3	1	0.9247311827956988	0.941798941798942	avg	avg	True	True	True	True	False	False	False	False	0.7281441804397835	0.6916407803554594	avg	avg	True	True	True	True	False	False	False	False	28	44	29	8	True	0	1	0	0	0	-1	9	0.75504717	0.92401593	0.16896876000000005	1.0	1.0	1.0	1.0	0.961038961038961	0.9528795811518325	1.0	1.0	1.0	1.0	0.9873417721518988	0.9743589743589743	0.0	0.0	0.0	0.0	0.026302811112937752	0.021479393207141873	mid	mid	diff	diff	diff	diff	enlistment	mexican	0.9189189189189187	0.8023952095808383	0.74101113	0.91437713	diff	syns	syns	syns	syns	diff	diff	syns	syns	syns	syns	diff	syns	0	1	0.8571428571428571	-1	0	1	0.0170677590032432	0.03650340008432407
5	abomination	curse	15	7.0	False	True	False	False	False	5	3	9	5	3	5	0.9247311827956988	0.7654320987654322	avg		True	False	True	False	False	False	False	False	0.7281441804397835	0.4092761976544471	avg		True	False	True	False	False	False	False	False	28	298	29	267	True	0	2	0	2	0	0	11	0.79823824	0.75465081	-0.04358742999999998	1.0	0.9473684210526316	0.9655172413793104	0.9743589743589743	0.961038961038961	0.907103825136612	1.0	1.0	1.0	0.9473684210526316	0.9189189189189189	0.8950276243093923	0.0	0.05263157894736836	0.03448275862068961	-0.0269905533063427	-0.04212004212004217	-0.012076200827219719	mid	mid	syns	syns	syns	syns	aristocracy	representatives	0.7951807228915663	0.6111111111111112	0.78957742	0.80650931	syns	syns	diff	diff	syns	syns	syns	syns	diff	diff	syns	syns	syns	0	0	1.375	-2	-2	0	0.1592990840302666	0.31886798278533635
6	abomination	hatred	15	1.0	False	True	True	False	False	5	3	1	5	3	1	0.9247311827956988	0.5815602836879432	avg		True	False	True	False	False	False	False	False	0.7281441804397835	0.2820550981944899	avg		True	False	True	False	False	False	False	False	28	327	29	385	True	0	2	0	2	0	0	9	0.77996374	0.83075248	0.05078874	1.0	1.0	1.0	1.0	0.961038961038961	0.9417989417989419	1.0	1.0	1.0	1.0	1.0	0.9528795811518325	0.0	0.0	0.0	0.0	0.038961038961038974	0.011080639352890609	mid	mid	diff	syns	diff	syns	beauty	shadows	0.6754966887417219	0.7951807228915663	0.75290753	0.77294008	diff	syns	syns	syns	syns	diff	diff	syns	syns	syns	syns	diff	syns	0	0	1.0588235294117647	-2	-2	0	0.34317089910775556	0.4460890822452936
7	abomination	plague	15	8.0	False	True	False	False	False	5	3	7	5	3	5	0.9247311827956988	0.7012987012987013	avg		True	False	True	False	False	False	False	False	0.7281441804397835	0.4419016094760098	avg		True	False	True	False	False	False	False	False	28	172	29	229	True	0	2	0	2	0	0	10	0.81287978	0.82197033	0.00909054999999992	1.0	1.0	1.0	0.9743589743589743	0.9873417721518988	0.9637305699481865	1.0	1.0	1.0	1.0	0.9873417721518988	0.9528795811518325	0.0	0.0	0.0	0.02564102564102566	0.0	-0.010850988796354044	mid	mid	diff	syns	syns	syns	air	furnace	0.7012987012987013	0.6486486486486487	0.71220298	0.77461671	diff	syns	syns	syns	diff	syns	syns	syns	syns	syns	diff	syns	syns	0	0	1.1764705882352942	-2	-2	0	0.22343248149699746	0.28624257096377365
8	abomination	abuse	15	5.0	False	True	False	False	False	5	3	7	5	3	3	0.9247311827956988	0.9361702127659576	avg	avg	True	True	True	True	False	False	False	False	0.7281441804397835	0.6203612853495316	avg		True	False	True	False	False	False	False	False	28	242	29	808	True	0	2	0	3	0	1	9	0.94294003	0.89579346	-0.04714657	1.0	1.0	1.0	1.0	1.0	0.9949748743718593	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.005025125628140725	far	mid	syns	syns	syns	syns	collateral	research	0.9010989010989012	0.8636363636363636	0.88010317	1.02649162	syns	syns	syns	syns	syns	syns	diff	syns	syns	syns	syns	syns	syns	0	1	1.125	-2	-3	-1	0.011439029970258807	0.10778289509025185
9	abomination	horror	15	2.0	False	True	False	False	False	5	3	3	5	3	3	0.9247311827956988	0.6754966887417219	avg		True	False	True	False	False	False	False	False	0.7281441804397835	0.3460402523620255	avg		True	False	True	False	False	False	False	False	28	685	29	714	True	0	3	0	3	0	0	9	0.74486088	0.77838661	0.03352573000000003	1.0	1.0	1.0	1.0	0.9743589743589743	0.9583333333333334	1.0	0.9473684210526316	0.9655172413793104	0.9743589743589743	0.9473684210526316	0.9583333333333334	0.0	-0.05263157894736836	-0.03448275862068961	-0.02564102564102566	-0.0269905533063427	0.0	mid	mid	diff	syns	diff	syns	shows	proof	0.7878787878787878	0.7341772151898734	0.73672112	0.81815744	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	0	0	1.0588235294117647	-3	-3	0	0.2492344940539769	0.38210392807775795
