pairIdx	index	syn1	syn2	DiachrD1	DiachrD2	DiachrDG1	DiachrDG2	DiachrDG_avg	DiachrDG_avgstd	FO1	FO2	FE1	FE2	EnoughFreq	FGO1	FGO2	FGE1	FGE2	FEvol1	FEvol2	WNpressure_1	WNpressure_2	WNsenses_1	WNsenses_2	SDO	SDE	Div	SDGO	SDGE	Dec_avg	Dec_avgstd
0	111	abandon	forsake	0.7096774193548387	0.75	low	low			38	22	54	5	True	2	1	2	0	0	-1	6	3	5	1	0.67546334	0.77803895	0.10257561000000004	mid	mid	LD	LD
1	2057	abandon	vacate	0.7096774193548387	0.8372093023255813	low	low			38	20	54	17	True	2	1	2	1	0	0	6	13	5	3	0.94146056	0.8935996	-0.04786095999999995	far	mid	LPC	LPC
2	563	abhor	loathe	0.9130434782608696	0.9528795811518324	avg	avgstd	both	s2	25	18	19	24	True	2	1	1	1	-1	0	3	3	1	1	0.51288073	0.5534107	0.040529970000000026	close	close	LD	LPC
3	2107	abide	bide	0.8023952095808383	0.941798941798942	low	avg	s2		50	39	17	10	True	2	2	1	0	-1	-2	13	2	2	1	0.81819608	0.82482937	0.006633290000000014	mid	mid	LD	LPC
4	1124	abide	endure	0.8023952095808383	0.7804878048780488	low	low			50	35	17	39	True	2	2	1	2	-1	0	13	26	2	7	0.6626181	0.78672	0.12410189999999999	mid	mid	LD	LD
5	695	abide	stand	0.8023952095808383	0.7878787878787878	low	low			50	553	17	845	True	2	3	1	3	-1	0	13	16	2	12	0.61562265	0.82918982	0.21356716999999992	close	mid	LD	LD
6	913	abide	stay	0.8023952095808383	0.7096774193548387	low	low			50	340	17	304	True	2	3	1	3	-1	0	13	17	2	11	0.64149266	0.65321572	0.011723060000000007	mid	mid	LD	LPC
7	746	abide	suffer	0.8023952095808383	0.6577181208053691	low	low			50	294	17	279	True	2	3	1	3	-1	0	13	18	2	11	0.56807582	0.61602963	0.047953809999999986	close	close	LD	LPC
8	2239	abide	tolerate	0.8023952095808383	0.8023952095808383	low	low			50	12	17	28	True	2	1	1	1	-1	0	13	13	2	4	0.72087376	0.58791212	-0.13296164	mid	close	LPC	LPC
9	1722	absorb	assimilate	0.7341772151898734	0.8505747126436781	low	low			23	27	48	29	True	1	2	2	1	1	-1	18	4	9	5	0.67885909	0.72802416	0.04916507000000003	mid	mid	LD	LPC
10	2399	absorb	draw	0.7341772151898734	0.7804878048780488	low	low			23	48	48	157	True	1	2	2	3	1	1	18	39	9	36	0.59827626	0.60704296	0.008766700000000016	close	close	LD	LPC
11	1473	absorb	engage	0.7341772151898734	0.7730061349693251	low	low			23	50	48	134	True	1	2	2	3	1	1	18	19	9	10	0.88580665	0.89148165	0.005674999999999986	mid	mid	LD	LPC
12	512	absorb	immerse	0.7341772151898734	0.979591836734694	low	avgstd	s2	s2	23	5	48	17	True	1	0	2	1	1	1	18	10	9	4	0.83679752	0.79512649	-0.04167102999999994	mid	mid	LPC	LPC
13	2311	absorb	occupy	0.7341772151898734	0.6754966887417219	low	low			23	132	48	92	True	1	3	2	2	1	-1	18	13	9	8	0.81404296	0.86557947	0.051536510000000035	mid	mid	LD	LPC
14	785	absorb	suck	0.7341772151898734	0.8888888888888888	low	avg	s2		23	6	48	31	True	1	0	2	2	1	2	18	18	9	7	0.66665585	0.75184672	0.08519086999999992	mid	mid	LD	LD
15	680	abstain	desist	0.7951807228915663	0.8304093567251463	low	low			43	42	12	10	True	2	2	1	0	-1	-2	2	2	2	1	0.68184231	0.8020835	0.12024119	mid	mid	LD	LD
16	2742	accede	acquiesce	0.7261146496815287	0.8505747126436781	low	low			5	8	6	5	True	0	0	0	0	0	0	7	2	3	1	0.67426145	0.71017439	0.035912940000000004	mid	mid	LD	LPC
17	2344	accede	defer	0.7261146496815287	0.8372093023255813	low	low			5	6	6	18	True	0	0	0	1	0	1	7	13	3	2	1.02868606	0.88335635	-0.14532971000000006	far	mid	LPC	LPC
18	1129	accede	enter	0.7261146496815287	0.7730061349693251	low	low			5	1110	6	616	True	0	3	0	3	0	0	7	19	3	9	0.90299341	0.88193445	-0.02105895999999996	far	mid	LPC	LPC
19	2784	accede	submit	0.7261146496815287	0.7261146496815287	low	low			5	98	6	48	True	0	3	0	2	0	-1	7	15	3	10	0.83815528	0.76674403	-0.07141124999999993	mid	mid	LPC	LPC
20	2000	accelerate	quicken	0.8023952095808383	0.9304812834224598	low	avg	s2		2	11	24	24	False	0	1	1	1	1	0	3	13	2	5	0.53549115	0.72316776	0.18767661000000002	close	mid	LD	LD
21	1872	accept	admit	0.5915492957746479	0.7654320987654322	low	low			273	261	318	302	True	3	3	3	3	0	0	11	11	11	8	0.79030168	0.91602348	0.1257218	mid	far	LD	LD
22	1522	accept	assume	0.5915492957746479	0.7730061349693251	low	low			273	138	318	398	True	3	3	3	3	0	0	11	21	11	9	0.80315035	0.89156995	0.08841960000000004	mid	mid	LD	LD
23	2461	accept	take	0.5915492957746479	0.7096774193548387	low	low			273	35	318	115	True	3	2	3	3	0	1	11	65	11	42	0.83680411	0.80944516	-0.027358949999999993	mid	mid	LPC	LPC
24	1089	accommodate	adapt	0.7730061349693251	0.7012987012987013	low	low			3	6	16	45	False	0	0	1	2	1	2	9	3	7	2	0.83890468	0.6604339	-0.17847077999999994	mid	mid	LPC	LPC
25	1562	accommodate	admit	0.7730061349693251	0.7654320987654322	low	low			3	261	16	302	False	0	3	1	3	1	0	9	11	7	8	0.63267001	0.86788622	0.23521621000000004	close	mid	LD	LD
26	2526	accommodate	hold	0.7730061349693251	0.7096774193548387	low	low			3	1226	16	959	False	0	3	1	3	1	0	9	55	7	36	0.7017535	0.70329834	0.0015448399999999918	mid	mid	LD	LPC
27	710	accommodate	oblige	0.7730061349693251	0.8571428571428572	low	avg	s2		3	17	16	6	False	0	1	1	0	1	-1	9	5	7	3	0.63139696	0.61284035	-0.018556609999999973	close	close	LPC	LPC
28	2552	accommodate	reconcile	0.7730061349693251	0.6928104575163399	low	low			3	5	16	9	False	0	0	1	0	1	0	9	9	7	4	0.89607084	0.85940629	-0.03666455000000002	mid	mid	LPC	LPC
29	76	accompany	follow	0.6666666666666667	0.7261146496815287	low	low			61	630	48	889	True	2	3	2	3	0	0	8	27	4	24	0.49288945	0.70347656	0.21058711000000002	close	mid	LD	LD
30	1090	accomplish	achieve	0.7804878048780488	0.7261146496815287	low	low			38	17	27	93	True	2	1	1	3	-1	2	9	3	2	1	0.7857853	0.76802791	-0.017757389999999984	mid	mid	LD	LPC
31	342	accomplish	attain	0.7804878048780488	0.7012987012987013	low	low			38	68	27	20	True	2	3	1	1	-1	-2	9	16	2	4	0.75107178	0.81196585	0.06089407000000002	mid	mid	LD	LPC
32	44	accomplish	execute	0.7804878048780488	0.7577639751552795	low	low			38	9	27	27	True	2	1	1	1	-1	0	9	10	2	7	0.56735708	0.64535263	0.07799555000000002	close	close	LD	LD
33	10	accomplish	fulfil	0.7804878048780488	0.717948717948718	low	low			38	22	27	3	False	2	1	1	0	-1	-1	9	12	2	3	0.68688335	0.65626403	-0.030619320000000005	mid	mid	LPC	LPC
34	2159	accomplish	fulfill	0.7804878048780488	0.7654320987654322	low	low			38	11	27	22	True	2	1	1	1	-1	0	9	12	2	3	1.00244434	0.78730131	-0.21514303	far	mid	LPC	LPC
35	2174	accomplish	reach	0.7804878048780488	0.7730061349693251	low	low			38	612	27	515	True	2	3	1	3	-1	0	9	22	2	9	0.52878193	0.56946907	0.040687140000000066	close	close	LD	LPC
36	924	accumulate	collect	0.7341772151898734	0.7261146496815287	low	low			13	35	37	185	True	1	2	2	3	1	1	9	14	2	5	0.88867125	0.8237356	-0.06493565000000001	mid	mid	LPC	LPC
37	1317	accumulate	compile	0.7341772151898734	0.9304812834224598	low	avg	s2		13	3	37	31	False	1	0	2	2	1	2	9	7	2	3	0.67743459	0.80210085	0.12466626000000003	mid	mid	LD	LD
38	854	accumulate	gather	0.7341772151898734	0.7654320987654322	low	low			13	4	37	7	False	1	0	2	0	1	0	9	16	2	9	0.70358938	0.72300205	0.01941266999999991	mid	mid	LD	LPC
39	414	accuse	impeach	0.7730061349693251	0.9130434782608696	low	avg	s2		24	18	46	12	True	2	1	2	1	0	0	4	3	2	3	0.79367129	0.95778947	0.16411818	mid	far	LD	LD
40	826	achieve	accomplish	0.7261146496815287	0.7804878048780488	low	low			17	38	93	27	True	1	2	3	1	2	-1	3	9	1	2	0.68834309	0.74906642	0.060723329999999964	mid	mid	LD	LPC
41	1107	achieve	attain	0.7261146496815287	0.7012987012987013	low	low			17	68	93	20	True	1	3	3	1	2	-2	3	16	1	4	0.65655997	0.76137781	0.10481784000000005	mid	mid	LD	LD
42	2911	achieve	reach	0.7261146496815287	0.7730061349693251	low	low			17	612	93	515	True	1	3	3	3	2	0	3	22	1	9	0.51472628	0.53956221	0.02483593000000006	close	close	LD	LPC
43	1741	acknowledge	admit	0.717948717948718	0.7654320987654322	low	low			111	261	152	302	True	3	3	3	3	0	0	6	11	6	8	0.93140186	0.86585371	-0.06554815000000003	far	mid	LPC	LPC
44	1747	acknowledge	know	0.717948717948718	0.4732824427480916	low	low			111	11188	152	17157	True	3	3	3	3	0	0	6	31	6	11	0.72867501	0.73360308	0.004928069999999951	mid	mid	LD	LPC
45	2	acknowledge	recognise	0.717948717948718	0.6301369863013699	low	low			111	15	152	6	True	3	1	3	0	0	-1	6	15	6	8	0.90550121	0.82587123	-0.07962997999999999	far	mid	LPC	LPC
46	1624	acknowledge	recognize	0.717948717948718	0.6013986013986015	low	low			111	218	152	318	True	3	3	3	3	0	0	6	15	6	9	0.62119247	0.55109183	-0.07010064000000005	close	close	LPC	LPC
47	2302	acquaint	familiarize	0.8235294117647058	0.9189189189189187	low	avg	s2		6	11	3	18	False	0	1	0	1	0	0	4	2	3	1	0.60527694	0.68686856	0.08159161999999998	close	mid	LD	LD
48	2158	acquaint	introduce	0.8235294117647058	0.7654320987654322	low	low			6	61	3	83	False	0	2	0	2	0	0	4	17	3	10	0.79227763	0.90625586	0.11397823000000007	mid	mid	LD	LD
49	213	acquiesce	accede	0.8505747126436781	0.7261146496815287	low	low			8	5	5	6	True	0	0	0	0	0	0	2	7	1	3	0.52904059	0.54547377	0.016433179999999936	close	close	LD	LPC
50	933	acquire	adopt	0.6754966887417219	0.6666666666666667	low	low			65	60	69	68	True	3	2	2	2	-1	0	13	14	7	7	0.76041999	0.64842633	-0.11199366	mid	close	LPC	LPC
51	1867	acquire	assume	0.6754966887417219	0.7730061349693251	low	low			65	138	69	398	True	3	3	2	3	-1	0	13	21	7	9	0.80484339	0.89652834	0.09168494999999999	mid	mid	LD	LD
52	2360	acquire	develop	0.6754966887417219	0.7341772151898734	low	low			65	88	69	342	True	3	3	2	3	-1	0	13	22	7	21	0.71304897	0.52585494	-0.18719403	mid	close	LPC	LPC
53	230	acquire	evolve	0.6754966887417219	0.9189189189189187	low	avg	s2		65	3	69	41	False	3	0	2	2	-1	2	13	3	7	3	0.67842469	0.54739672	-0.1310279700000001	mid	close	LPC	LPC
