pairIdx	entry	syn	pressure_entry	WN_distance	syns_WordNet	diff_WordNet	WN_hypernymy	WN_antonymy	WN_holonymy	WNpressure_entry	WNsenses_entry	WNsenses_syn	WNpressure_POS_entry	WNsenses_POS_entry	WNsenses_POS_syn	DD_N_entry	DD_N_syn	DDG_N_entry	DDG_N_syn	DDG_N_avg_entry	DDG_N_avg_syn	DDG_N_avg_one	DDG_N_avg_both	DDG_N_avgstd_entry	DDG_N_avgstd_syn	DDG_N_avgstd_one	DDG_N_avgstd_both	DD_OP_entry	DD_OP_syn	DDG_OP_entry	DDG_OP_syn	DDG_OP_avg_entry	DDG_OP_avg_syn	DDG_OP_avg_one	DDG_OP_avg_both	DDG_OP_avgstd_entry	DDG_OP_avgstd_syn	DDG_OP_avgstd_one	DDG_OP_avgstd_both	FO_entry	FO_syn	FE_entry	FE_syn	EnoughFreq	FGO_entry	FGO_syn	FGE_entry	FGE_syn	FGEv_entry	FGEv_syn	Lev	SDO	SDE	Div	SNDO_5	SNDO_10	SNDO_15	SNDO_20	SNDO_40	SNDO_100	SNDE_5	SNDE_10	SNDE_15	SNDE_20	SNDE_40	SNDE_100	NDiv_5	NDiv_10	NDiv_15	NDiv_20	NDiv_40	NDiv_100	SDGO	SDGE	DivG_avg	DivG_avgstd	DivG_closeavg	DivG_closeavgstd	control_1	control_2	control_DD_1	control_DD_2	control_SDO	control_SDE	XKcontrols	NDivG_avg_5	NDivG_avg_10	NDivG_avg_15	NDivG_avg_20	NDivG_avg_40	NDivG_avg_100	NDivG_avgstd_5	NDivG_avgstd_10	NDivG_avgstd_15	NDivG_avgstd_20	NDivG_avgstd_40	NDivG_avgstd_100	absFGEv_entry	absFGEv_syn	normLev	FGDO	FGDE	FGEvD	DeltaDD_N	DeltaDD_OP
0	abandon	abdicate	17	inf	False	True	False	False	False	10	7	1	7	5	1	0.7261146496815287	0.8636363636363636			False	False	False	False	False	False	False	False	0.3692797396462367	0.5841468250347573			False	False	False	False	False	False	False	False	318	13	319	6	True	3	0	2	0	-1	0	6	0.63757291	0.68062135	0.043048439999999966	0.8888888888888888	0.8235294117647058	0.75	0.7878787878787878	0.7301587301587302	0.7654320987654322	0.75	0.75	0.8461538461538461	0.8888888888888888	0.904109589041096	0.9130434782608696	-0.13888888888888884	-0.07352941176470584	0.09615384615384615	0.101010101010101	0.17395085888236572	0.14761137949543746	close	mid	diff	syns	diff	syns	presume	argue	0.717948717948718	0.7341772151898734	0.60652897	0.6776329	diff	syns	syns	diff	diff	diff	diff	syns	syns	diff	diff	diff	diff	1	0	0.8	3	2	-1	0.13752171395483492	0.21486708538852062
1	abandon	desert	17	0.0	True	False	False	False	False	10	7	5	7	5	3	0.7261146496815287	0.8505747126436781			False	False	False	False	False	False	False	False	0.3692797396462367	0.4741188802385727			False	False	False	False	False	False	False	False	318	135	319	190	True	3	2	2	2	-1	0	7	0.83783328	0.88748072	0.04964743999999999	1.0	1.0	1.0	1.0	0.9873417721518988	0.9743589743589743	1.0	1.0	1.0	1.0	0.9873417721518988	0.9847715736040609	0.0	0.0	0.0	0.0	0.0	0.010412599245086529	mid	mid	diff	syns	diff	syns	lasted	commemorate	0.6486486486486487	0.8505747126436781	0.83245116	0.80851349	diff	syns	syns	syns	syns	syns	diff	syns	syns	syns	syns	syns	syns	1	0	1.0769230769230769	1	0	-1	0.1244600629621494	0.10483914059233596
2	abandon	leave	17	1.0	False	True	True	False	False	10	7	17	7	5	14	0.7261146496815287	0.7096774193548387			False	False	False	False	False	False	False	False	0.3692797396462367	0.3754618115230999			False	False	False	False	False	False	False	False	318	4297	319	6041	True	3	4	2	4	-1	0	6	0.67599073	0.58497616	-0.09101457000000002	1.0	1.0	0.9285714285714286	0.8888888888888888	0.8235294117647058	0.8095238095238095	1.0	1.0	0.9285714285714286	0.9189189189189189	0.8732394366197183	0.8095238095238095	0.0	0.0	0.0	0.03003003003003002	0.049710024855012414	0.0	mid	close	syns	syns	syns	syns	doubt	seems	0.6394557823129252	0.6666666666666667	0.64607532	0.61196586	syns	syns	syns	syns	diff	diff	syns	syns	syns	syns	diff	diff	syns	1	0	1.0	-1	-2	-1	0.016437230326689978	0.006182071876863149
3	abandon	resign	17	inf	False	True	False	False	False	10	7	4	7	5	4	0.7261146496815287	0.7654320987654322			False	False	False	False	False	False	False	False	0.3692797396462367	0.3290420139433641			False	False	False	False	False	False	False	False	318	198	319	132	True	3	2	2	1	-1	-1	6	0.57826781	0.67932712	0.1010593099999999	0.8888888888888888	0.8235294117647058	0.6956521739130435	0.7096774193548387	0.7096774193548387	0.75	0.8888888888888888	0.8235294117647058	0.8461538461538461	0.8235294117647058	0.8235294117647058	0.7951807228915663	0.0	0.0	0.1505016722408027	0.1138519924098671	0.1138519924098671	0.04518072289156627	close	close	diff	diff	diff	syns	astonished	displeased	0.5815602836879432	0.88268156424581	0.55251356	0.69033985	syns	syns	syns	diff	diff	diff	diff	syns	syns	diff	diff	diff	diff	1	1	0.9230769230769231	1	1	0	0.039317449083903444	0.04023772570287265
4	abandon	discontinue	17	inf	False	True	False	False	False	10	7	3	7	5	3	0.7261146496815287	0.9189189189189187		avg	False	True	True	False	False	False	False	False	0.3692797396462367	0.6648271247536919		avg	False	True	True	False	False	False	False	False	318	22	319	12	True	3	0	2	0	-1	0	9	0.74632352	0.77417124	0.02784772000000002	0.8888888888888888	0.9473684210526316	0.8888888888888888	0.8888888888888888	0.904109589041096	0.8888888888888888	1.0	1.0	1.0	1.0	0.961038961038961	0.9417989417989419	0.11111111111111116	0.05263157894736836	0.11111111111111116	0.11111111111111116	0.056929371997865075	0.05291005291005302	mid	mid	diff	syns	diff	syns	adhere	correct	0.7577639751552795	0.7878787878787878	0.74049715	0.8214804	syns	diff	diff	diff	diff	diff	diff	diff	diff	diff	diff	diff	diff	1	0	1.0	3	2	-1	0.19280426923739002	0.29554738510745515
5	abandon	quit	17	1.0	False	True	True	False	False	10	7	5	7	5	5	0.7261146496815287	0.8439306358381503			False	False	False	False	False	False	False	False	0.3692797396462367	0.7005471053880983		avg	False	True	True	False	False	False	False	False	318	261	319	962	True	3	2	2	4	-1	2	7	0.64493107	0.65090133	0.005970259999999894	1.0	0.75	0.6956521739130435	0.75	0.6666666666666667	0.7654320987654322	1.0	0.8888888888888888	0.9285714285714286	0.9189189189189189	0.9333333333333333	0.8571428571428572	0.0	0.13888888888888884	0.23291925465838514	0.16891891891891886	0.2666666666666666	0.09171075837742504	close	close	diff	syns	syns	syns	conferred	enjoyed	0.717948717948718	0.7012987012987013	0.63672102	0.71769476	syns	syns	diff	diff	diff	diff	diff	syns	diff	diff	diff	diff	diff	1	2	1.2727272727272727	1	-2	-3	0.11781598615662159	0.33126736574186155
6	abandon	forego	17	1.0	False	True	True	False	False	10	7	3	7	5	3	0.7261146496815287	0.9010989010989012		avg	False	True	True	False	False	False	False	False	0.3692797396462367	0.7630695908208792		avg	False	True	True	False	False	False	False	False	318	89	319	11	True	3	1	2	0	-1	-1	6	0.73078653	0.75175842	0.020971889999999993	0.8888888888888888	0.75	0.8	0.7878787878787878	0.8235294117647058	0.8372093023255813	1.0	0.9473684210526316	0.9655172413793104	0.9743589743589743	0.961038961038961	0.907103825136612	0.11111111111111116	0.19736842105263164	0.16551724137931034	0.1864801864801865	0.13750954927425518	0.0698945228110307	mid	mid	diff	syns	diff	syns	sliced	pot	0.8571428571428572	0.7654320987654322	0.576112	0.72647839	diff	diff	diff	diff	diff	diff	diff	diff	diff	diff	diff	diff	diff	1	1	0.9230769230769231	2	2	0	0.1749842514173725	0.3937898511746425
7	abandon	recant	17	inf	False	True	False	False	False	10	7	1	7	5	1	0.7261146496815287	0.9637305699481864		avg	False	True	True	False	False	False	False	False	0.3692797396462367	0.6255844461048657			False	False	False	False	False	False	False	False	318	8	319	9	True	3	0	2	0	-1	0	6	0.86831135	0.77085883	-0.09745252000000004	1.0	0.9473684210526316	0.9655172413793104	0.9743589743589743	0.9189189189189189	0.9130434782608696	1.0	1.0	0.9655172413793104	0.9743589743589743	0.9873417721518988	0.9795918367346939	0.0	0.05263157894736836	0.0	0.0	0.06842285323297992	0.06654835847382423	mid	mid	syns	syns	syns	syns	produce	sells	0.7012987012987013	0.7730061349693251	0.84121939	0.79959953	syns	syns	diff	syns	syns	diff	diff	syns	diff	syns	syns	diff	diff	1	0	0.9230769230769231	3	2	-1	0.23761592026665768	0.256304706458629
8	abandon	retract	17	inf	False	True	False	False	False	10	7	4	7	5	4	0.7261146496815287	0.9743589743589745		avg	False	True	True	False	False	False	False	False	0.3692797396462367	0.7852602701282704		avg	False	True	True	False	False	False	False	False	318	28	319	23	True	3	0	2	0	-1	0	7	0.82443226	0.86202018	0.03758792	1.0	1.0	1.0	0.9743589743589743	0.9333333333333333	0.8636363636363636	1.0	1.0	1.0	1.0	0.9873417721518988	0.9743589743589743	0.0	0.0	0.0	0.02564102564102566	0.05400843881856543	0.11072261072261069	mid	mid	diff	syns	diff	syns	tied	rack	0.717948717948718	0.9528795811518324	0.71070936	0.82716945	diff	syns	syns	syns	diff	diff	diff	syns	syns	syns	diff	diff	diff	1	0	1.0	3	2	-1	0.24824432467744573	0.41598053048203365
9	abandon	cease	17	inf	False	True	False	False	False	10	7	3	7	5	2	0.7261146496815287	0.88268156424581		avg	False	True	True	False	False	False	False	False	0.3692797396462367	0.4319763610432519			False	False	False	False	False	False	False	False	318	558	319	163	True	3	3	2	1	-1	-2	6	0.82021454	0.86656931	0.04635476999999999	1.0	1.0	1.0	1.0	0.9873417721518988	0.9583333333333334	1.0	1.0	1.0	1.0	0.9873417721518988	0.9690721649484536	0.0	0.0	0.0	0.0	0.0	0.010738831615120237	mid	mid	diff	syns	diff	syns	knelt	ran	0.7577639751552795	0.7730061349693251	0.74110917	0.75772722	diff	syns	syns	syns	syns	syns	diff	syns	syns	syns	syns	syns	syns	1	2	1.0	0	1	1	0.1565669145642813	0.06269662139701515
